id,date,location,interests,time,groupname,name,links,attendee
310586d9-8be9-4262-824b-18922ce98da8,2020-04-20,San-Francisco,"Technology,business",00:00:00,Product School Bangalore,Webinar: PM in a Startup Setting by Alexa Product Lead,https://www.meetup.com/PS-Bangalore/events/270041842/,6 Members going
8662acd5-3016-450a-988e-70563233f873,2020-04-20,San-Francisco,"Technology,business",07:00:00,SouJava,Live SouJava- Microservice Patterns - Implemented by Eclipse Microprofile,https://www.meetup.com/SouJava/events/269602686/,119 Javeiros going
23170cd5-2578-401b-9e57-86ed465714fe,2020-04-20,San-Francisco,"Technology,business",07:30:00,DevOps | CODE Event Series,enterprise:CODE 2020,https://www.meetup.com/DevOps-CODE-Event-Series/events/265114262/,10 Mitglieder going
d5d71a50-795a-478f-8f31-88ded4e979a0,2020-04-20,San-Francisco,"Technology,business",08:00:00,DC Cybersecurity Training,Certified CISO,https://www.meetup.com/washington-dc-cybersecurity-training/events/267226528/,4 Members going
44eec070-09b4-4cf2-b1e7-9019c6388529,2020-04-20,San-Francisco,"Technology,business",08:00:00,DC Cybersecurity Training,Certified Ethical Hacker (CEH),https://www.meetup.com/washington-dc-cybersecurity-training/events/267226705/,3 Members going
8abe481c-501e-4f96-8898-16dde32a9004,2020-04-20,San-Francisco,"Technology,business",08:00:00,Software Testing Training Courses (London),A4Q AI & SOFTWARE TESTING,https://www.meetup.com/Software-Testing-Training-Courses-London/events/268855268/,6 Members going
082dbfb8-ddcc-4761-95e2-42a67f0bd28a,2020-04-20,San-Francisco,"Technology,business",08:00:00,Agile Toulouse,Agile & Coffee (Blagnac),https://www.meetup.com/Agile-Toulouse/events/mfddmrybcgbbc/,11 Membres going
de157ef0-bbf7-42c6-8b7e-e7b4086f0693,2020-04-20,San-Francisco,"Technology,business",08:30:00,Riyadh Women in Machine Learning & Data Science,"Women in Data Science (WiDS) PSU Riyadh,March 2,2020",https://www.meetup.com/Riyadh-Women-in-Machine-Learning-and-Data-Science/events/jthbqrybcgbbc/,11 Members going
7ba63ba0-083a-4bd9-82fd-d3b3f1ef2d83,2020-04-20,San-Francisco,"Technology,business",08:30:00,Paris Android LiveCode,Android Makers Virtual Edition 2020,https://www.meetup.com/Paris-Android-LiveCode/events/269969663/,9 Bugdroids going
73e6769d-9a86-4a6a-8f8e-d27dd923250c,2020-04-20,San-Francisco,"Technology,business",08:30:00,BeMyApp events - EMEA,ANDROID MAKERS 2020 VIRTUAL EDITION,https://www.meetup.com/BeMyApp-events/events/269970342/,5 BeMyAppers going
55d799b9-b370-4308-b905-a26d9c34645a,2020-04-20,San-Francisco,"Technology,business",08:30:00,Agile Baden (CH),Let’s take a mindful moment (weekly 25min mindfulness Mondays 8:30 ZOOM),https://www.meetup.com/Agile-Baden-CH/events/vsfmrrybcgbbc/,4 Members going
3f567f21-f841-4e62-8748-c049076fb942,2020-04-20,San-Francisco,"Technology,business",09:00:00,Agile-Lean Ireland,Agile-Lean Ireland 2020,https://www.meetup.com/Agile-Lean-Ireland/events/262121331/,1 going
acd72fd3-cf2e-4bf9-8e1e-00dd5ee13dd1,2020-04-20,San-Francisco,"Technology,business",09:00:00,"Advanced KubeFlow AI Meetup (San Francisco, Global)","KubeFlow, TFX, GPU/TPU, Spark, TensorFlow, Kubernetes, Kafka, Scikit",https://www.meetup.com/Advanced-KubeFlow/events/kdgwprybcgbbc/,123 KubeFlow Experts going
4e6f2876-ef81-4c10-8b60-ee4c6bb810d3,2020-04-20,San-Francisco,"Technology,business",09:00:00,Design Thinking 💥 Make it KLAP 💥,Formation 1 jour - Vous donner des billes en facilitation - Animer un groupe,https://www.meetup.com/Make-it-KLAP/events/264550995/,9 KLAPERS going
965febfb-6faa-4a30-b6c1-5de52744ee56,2020-04-20,San-Francisco,"Technology,business",09:00:00,Le Wagon Hong Kong - Coding Bootcamp,Fullstack Coding Bootcamp Across the Border from Hong Kong,https://www.meetup.com/Le-Wagon-Hong-Kong-Coding-Bootcamp/events/266041390/,7 Wagoners going
4875a105-9e82-4c50-a5bc-9776aeca6093,2020-04-20,San-Francisco,"Technology,business",09:00:00,Adventures with Agile,ONLINE! Enterprise Agility Masterclass (ICP-ENT) - Georg Fasching & Sam Kiani,https://www.meetup.com/AdventuresWithAgile/events/268602954/,7 Agile Adventurers going
15050d0a-3303-48b8-af26-5b1cc8f15116,2020-04-20,San-Francisco,"Technology,business",09:00:00,Prefect Community,Digital PyCon Sprint,https://www.meetup.com/Prefect-Community/events/269553041/,6 Members going
6d5313d7-83f6-4dee-92f0-f9595b99afab,2020-04-20,San-Francisco,"Technology,business",09:00:00,Philadelphia Robotic Process Automation (RPA) Meetup Group,Reboot Your Skills,https://www.meetup.com/Philadelphia-Robotic-Process-Automation-RPA-Meetup-Group/events/269756721/,9 Members going
ad72a57e-1d39-47f7-8e33-9a55fde5429b,2020-04-20,San-Francisco,"Technology,business",09:00:00,IT talk Wroclaw,DataArt Online Week,https://www.meetup.com/DataArt-Wroclaw-IT-talk/events/269948847/,6 IT-lovers going
2add155a-b1b0-48f3-84bd-2cd4de97fce5,2020-04-20,San-Francisco,"Technology,business",09:00:00,GDG Kandahar,Online: Introduction to Machine Learning,https://www.meetup.com/gdgkandahar/events/270011549/,12 Members going
7a5d638e-f9bd-4cd0-9391-c02294546ebd,2020-04-20,San-Francisco,"Technology,business",09:00:00,"Learn Python NYC: Data Science, Data Analytics, Django",PYTHON PROGRAMMING DATA ANALYTICS Day 1/5 ($1800 Pay at Door),https://www.meetup.com/Learn-Python-Free-Weekend-Evening-Class-New-York-NYC/events/plggprybcgbbc/,3 Members going
caf84d89-88e7-4be9-ac30-11a9ff24e65c,2020-04-20,San-Francisco,"Technology,business",10:00:00,Lisk Center Utrecht: Blockchain Meetup,ONLINE Blockchain030 | Co-working Mondays,https://www.meetup.com/LiskCenterUtrecht/events/267803510/,7 Members going 5 spots left!
eb13611a-36c7-48cf-a2c6-99d9cd1cff5c,2020-04-20,San-Francisco,"Technology,business",10:00:00,GDG Tiaret,Firebase Study Jam 2020,https://www.meetup.com/GDG-Tiaret/events/268269553/,17 Members going
